user,repository_name,url,size,stargazers_count,forks_count,open_issues
sustainable-computing-io,kepler,https://github.com/sustainable-computing-io/kepler.git,4083,17,4,2
tgross,ebpf-workshop-dodphilly2019,https://github.com/tgross/ebpf-workshop-dodphilly2019.git,48,10,0,0
chen-keinan,kube-knark,https://github.com/chen-keinan/kube-knark.git,6766,29,4,0
apache,skywalking-rover,https://github.com/apache/skywalking-rover.git,252,26,2,1
Jamesits,linux-gre-keepalive,https://github.com/Jamesits/linux-gre-keepalive.git,102,28,4,0
sfriberg,java-ebpf,https://github.com/sfriberg/java-ebpf.git,8,7,0,0
0xB10C,bitcoind-observer,https://github.com/0xB10C/bitcoind-observer.git,40,23,2,1
taavi013,erl_ebpf,https://github.com/taavi013/erl_ebpf.git,52,7,0,0
cneira,ebpf-backports,https://github.com/cneira/ebpf-backports.git,213474,6,0,0
fbs,el7-bpf-specs,https://github.com/fbs/el7-bpf-specs.git,86,41,7,1
florianl,go-tc,https://github.com/florianl/go-tc.git,874,225,28,2
flier,rust-ebpf,https://github.com/flier/rust-ebpf.git,166,6,1,0
open-telemetry,wg-ebpf,https://github.com/open-telemetry/wg-ebpf.git,0,6,0,0
vinhjaxt,eBPF-sockmap-proxy,https://github.com/vinhjaxt/eBPF-sockmap-proxy.git,2411,7,0,0
Gui774ume,ebpf-samples,https://github.com/Gui774ume/ebpf-samples.git,15,6,1,0
cfc4n,ebpf-demo,https://github.com/cfc4n/ebpf-demo.git,2125,5,1,0
ahrefs,ocaml-ubpf,https://github.com/ahrefs/ocaml-ubpf.git,74,12,1,0
factorysh,PHP-tracing-tool,https://github.com/factorysh/PHP-tracing-tool.git,11433,16,2,0
saschagrunert,syscall-recorder,https://github.com/saschagrunert/syscall-recorder.git,14,8,1,0
udzura,bpfql,https://github.com/udzura/bpfql.git,19,21,1,0
gamemann,XDP-Forwarding,https://github.com/gamemann/XDP-Forwarding.git,250,43,8,1
sahmad98,ebpf-tools,https://github.com/sahmad98/ebpf-tools.git,43,5,0,0
yuuki,go-conntracer-bpf,https://github.com/yuuki/go-conntracer-bpf.git,9369,19,1,1
oscomp,proj147-eBPF-FUSE,https://github.com/oscomp/proj147-eBPF-FUSE.git,3,6,0,0
vmware-ysung,pg-ebpf,https://github.com/vmware-ysung/pg-ebpf.git,20,0,2,0
higebu,ebpf-template,https://github.com/higebu/ebpf-template.git,84,5,1,0
udzura,rack-ebpf,https://github.com/udzura/rack-ebpf.git,7,5,0,0
sqproxy,sqredirect,https://github.com/sqproxy/sqredirect.git,129,16,4,1
digitalocean,vmtop,https://github.com/digitalocean/vmtop.git,130,18,12,2
gamemann,XDP-Firewall,https://github.com/gamemann/XDP-Firewall.git,242,115,26,5
takehaya,Vinbero,https://github.com/takehaya/Vinbero.git,3279,24,3,5
infobloxopen,ebpf,https://github.com/infobloxopen/ebpf.git,243,3,0,0
nevermosby,go-ebpf-trace,https://github.com/nevermosby/go-ebpf-trace.git,2,5,1,0
Dunateo,Menga,https://github.com/Dunateo/Menga.git,88716,4,0,0
takehaya,goxdp-template,https://github.com/takehaya/goxdp-template.git,8,20,2,0
wasmerio,sonde-rs,https://github.com/wasmerio/sonde-rs.git,65,34,3,2
nrwiersma,ebpf,https://github.com/nrwiersma/ebpf.git,56,3,0,0
terrycain,ssh-audit,https://github.com/terrycain/ssh-audit.git,15,1,2,0
vanneback,ebpf_exporter_helm,https://github.com/vanneback/ebpf_exporter_helm.git,8,0,2,3
davidcoles,vc5,https://github.com/davidcoles/vc5.git,791,26,2,0
trichimtrich,dns-tcp-ebpf,https://github.com/trichimtrich/dns-tcp-ebpf.git,11926,6,1,0
mmcshane,salp,https://github.com/mmcshane/salp.git,28,18,2,2
niclashedam,ebpf-crypto,https://github.com/niclashedam/ebpf-crypto.git,41,4,0,0
marywangran,sandfs_with_no_ebpf,https://github.com/marywangran/sandfs_with_no_ebpf.git,49,1,2,0
wubo0067,ebpf_space,https://github.com/wubo0067/ebpf_space.git,1009,4,0,0
AlexanderKurtz,ebpf-dump,https://github.com/AlexanderKurtz/ebpf-dump.git,6,7,0,0
mildsunrise,node_bpf,https://github.com/mildsunrise/node_bpf.git,1497,10,1,1
tecki,ebpfcat,https://github.com/tecki/ebpfcat.git,143,3,0,0
acassen,xdp-fw,https://github.com/acassen/xdp-fw.git,29,11,3,1
redsift,ingraind-build,https://github.com/redsift/ingraind-build.git,13792,2,3,1
mcaleavya,bcc-scripts,https://github.com/mcaleavya/bcc-scripts.git,56,4,1,0
datenlord,wavebpf,https://github.com/datenlord/wavebpf.git,326,9,1,2
navarrothiago,upf-bpf,https://github.com/navarrothiago/upf-bpf.git,1546,108,14,12
bpftools,bpf.sh,https://github.com/bpftools/bpf.sh.git,22001,1,2,2
sshhj89,research_eBPF,https://github.com/sshhj89/research_eBPF.git,1232,4,0,0
Gui774ume,ebpf-offsets-generator,https://github.com/Gui774ume/ebpf-offsets-generator.git,83,4,1,0
ahrefs,ocaml-bpf-match-string,https://github.com/ahrefs/ocaml-bpf-match-string.git,33,7,0,0
zhangmenghao,eBPF-IDS,https://github.com/zhangmenghao/eBPF-IDS.git,1287,3,1,0
trailofbits,monitoring_linux_events,https://github.com/trailofbits/monitoring_linux_events.git,23,5,6,0
